puesto,nombre,año,calificacion,etiquetas
1,The Fourth Kind (El Cuarto Contacto) (2009),2009,10.0,Found Footage
2,The Ritual (2017),2017,10.0,
3,Cuando Acecha la Maldad (2023),2023,10.0,
4,Hereditary (2018),2018,10.0,
5,Actividad Paranormal 3 (2011),2011,10.0,Found Footage
6,Dark Skies (Los Elegidos) (2013),2013,10.0,
7,Aterrados (2017),2017,10.0,
8,The Witch (2015),2015,10.0,
9,Color Out of Space (2019),2019,10.0,Horror Cósmico
10,The Thing (2011),2011,10.0,Horror Cósmico
11,The Mist (2007),2007,10.0,Horror Cósmico
12,The Void (2016),2016,10.0,Horror Cósmico
13,Coherence (2013),2013,9.5,
14,Ghostland (2018),2018,9.5,
15,Nope (2022),2022,9.5,Horror Cósmico
16,Pandorum (2009),2009,9.5,
17,Annihilation (2018),2018,9.0,Horror Cósmico
18,Paranormal Activity: The Marked Ones (2014),2014,9.0,Found Footage
19,V/H/S 2 (2013),2013,9.0,Found Footage
20,El Gabinete: La visita (2022),2022,9.0,Horror Cósmico
21,El Páramo (2021),2021,9.0,
22,V/H/S (2012),2012,9.0,Found Footage
23,Observados (2023),2023,9.0,
24,Paranormal Activity: The Ghost Dimension (2015),2015,9.0,Found Footage
25,V/H/S Beyond (2024),2024,9.0,Found Footage
26,Barbarian (2022),2022,8.5,
27,Huye (2017),2017,8.5,
28,Señales (2002),2002,8.5,
29,Grave Encounters (2011),2011,8.5,Found Footage
30,No One Will Save You (2023),2023,8.5,
31,La sustancia (2024),2024,8.5,
32,Muerte en Silencio (Dead Silence) (2007),2007,8.5,
33,Actividad Paranormal (2007),2007,8.5,Found Footage
34,Actividad Paranormal 2 (2010),2010,8.5,Found Footage
35,Actividad Paranormal 4 (2012),2012,8.5,Found Footage
36,Alien Romulus (2024),2024,8.5,
37,El Descenso (2005),2005,8.5,
38,Secretos Ocultos (2017),2017,8.5,
39,El Gabinete:  Lot 36 (2022),2022,8.5,
40,Despues del Apocalipcis (2024),2024,8.5,
41,V/H/S 94 (2021),2021,8.5,Found Footage
42,Siniestro,,8.5,
43,V/H/S 85 (2023),2023,8.0,Found Footage
44,En Otras Dimenciones (2023),2023,8.0,
45,V/H/S 99 (2022),2022,8.0,Found Footage
46,Demoniaca (2020),2020,8.0,
47,Area 51 (2015),2015,8.0,Found Footage
48,The Others (2001),2001,8.0,
49,The Medium (2021),2021,8.0,Found Footage
50,The Endless (2017),2017,8.0,Horror Cósmico
51,Hell House LLC (2015),2015,8.0,Found Footage
52,Detras de las paredes (2011),2011,8.0,
53,Shutter (2021),2021,8.0,
54,El Wendigo (2019),2019,8.0,
55,Nadie Sale Vivo (2021),2021,8.0,
56,REC (2007),2007,8.0,Found Footage
57,La Cabaña (The Cabin in the Woods) (2012),2012,8.0,
58,Así en la Tierra Como en el Infierno (2014),2014,8.0,Found Footage
59,La Cura Siniestra (2016),2016,8.0,
60,La Maldicion de Charlie (2015),2015,8.0,
61,The Empty Man (2020),2020,8.0,Horror Cósmico
62,The Visit (2015),2015,8.0,Found Footage
63,Skinwalker: El Rancho Maldito (2020),2020,8.0,
64,The Wretched (2019),2019,7.5,
65,Desaparecer Por Completo (2024),2024,7.5,
66,El Triangulo (2009),2009,7.5,
67,Smile (2022),2022,7.5,
68,Belcebud (2017),2017,7.5,
69,Llaman a la Puerta (2023),2023,7.5,
70,Phoenix Forgotten (2017),2017,7.5,
71,Libralos del Mal (2025),2025,7.0,
72,Maleficio (2022),2022,7.0,Found Footage
73,Alien Abdution (1998),1998,7.0,
74,La Morgue (2016),2016,7.0,
75,The Conjuring (2013),2013,7.0,
76,The Taking of Deborah Logan (2014),2014,7.0,Found Footage
77,Devil's Gate (2017),2017,6.5,
78,Gonjiam: Haunted Asylum (2018),2018,6.5,Found Footage
79,V/H/S Halloween (2025),2025,6.5,Found Footage
80,The Tunel (2011),2011,6.0,Found Footage
81,Smile 2 (2024),2024,6.0,
82,The Blair Witch Project (1999),1999,4.0,Found Footage
83,Noroi (2005),2005,4.0,Found Footage
84,Lake Mungo (2008),2008,3.0,
85,V/H/S Viral (2014),2014,3.0,Found Footage
86,Last Shift (2015),2015,3.0,
87,Good Boy (2025),2025,7.5,
88,Obsession (2025),2025,9.0,
89,La Última Casa (2026),2026,7.0,
90,BackRooms (2026),2026,8.0,
91,1408 (2007),2007,7.5,
